,HEALTHCLIQUE LTD,,,,,,,
,ARTICLES,Company,Price,Qty,Cost Price,Retail Price,Wholesale Price,Stock value
,SYRINGE AND NEEDLE 5ML (DELEJECT),DELE,,100,35,45.5,38.5,3500
,TABALON 400mg 10x10,Sygen,,30,210,273,231,6300
,TABASIL CREAM (TERBINAFINE ),,,2,0,0,0,0
,TABASIL TABLET,,,2,3400,4420,3740,6800
,TALEN 1.5MG,,,2,0,0,0,0
,TALEN 3MG,,,2,0,0,0,0
,TANZOL SUS400MG/10ML,,,3,0,0,0,0
,TANZOL TABLET,,,40,180,234,198,7200
,TELESHAL 40MG,Shalina,,2,4000,5200,4400,8000
,TELMISARTAN 40 TABLET POCCO,,,2,0,0,0,0
,TELMISARTAN 80 TABLET POCCO,,,2,0,0,0,0
,YEAST X 100,NUEL,,3,1000,1300,1100,3000
,TETANUS VACCINE 0.5ML DANO,,,1,0,0,0,0
,TETRACYCLINE CAPSULE,,,50,200,260,220,10000
,TINIZOL 500(TINIDAZOLE),,,3,0,0,0,0
,TORSINEX-10,,,3,3000,3900,3300,9000
,TRANEXAMIC ACID TAB 1X 10 EMBASSY ,EMBASSY,,2,2700,3510,2970,5400
,TRIBACT CREAM,Geneith ,,3,560,728,616,1680
,TUCLOX SUSPENSION ,TUYIL ,,3,1000,1300,1100,3000
,TUTOLIN CHILDREN,Tuyil,,3,500,650,550,1500
,TUTOLIN EXPECTORANT,Tuyil,,3,500,650,550,1500
,TUXIL-D ADULTS,Fidson,,3,0,0,0,0
,TUXIL-D CHILDREN,Fidson,,3,780,1014,858,2340
,TUXIL-N ADULTS,Fidson,,3,780,1014,858,2340
,TUXIL-N CHILDREN,Fidson,,3,780,1014,858,2340
,TYDINEAL CREAM,Osworth,,10,700,910,770,7000
,UNIDAR-F Full Strength ,,,3,550,715,605,1650
,UNIDAR-H Half Strength ,,,3,550,715,605,1650
,UNIDEX 10% D/W,,,2,550,715,605,1100
,UNIDEX-5 5% D/W,Unique,,4,600,780,660,2400
,UNIDEXAL 18 4.3%,,,2,550,715,605,1100
,UNIDEXAL-9 5% D/S,Unique,,4,600,780,660,2400
,UNIGYL 200,Unique,,2,0,0,0,0
,UNIGYL 400,Unique,,2,0,0,0,0
,UNIGYL METRO INFUSION ,,,8,450,585,495,3600
,UNIPLEX COUGH SYRUP,Daily Need,,2,750,975,825,1500
,UNISAL 0.9%,Unique,,10,550,715,605,5500
,UNITRIM TAB 480MG,Unique,,30,230,299,253,6900
,UNIVAL DIAZEPAM 5MG,Swipha,,2,0,0,0,0
,VASOPRIN,,,50,65,84.5,71.5,3250
,VEGA 100,,,10,400,520,440,4000
,VENTOLIN INHALER,GSK,,2,0,0,0,0
,VIAGRA 100MG,Pfizer,,1,0,0,0,0
,VIREST 400MG,Hovid,,1,0,0,0,0
,VIREST CREAM 5G,Hovid,,1,0,0,0,0
,VISINE EYE DROP,,,1,0,0,0,0
,Vit C 1g + Zinc 50mg 10x10,Jessy ,,10,600,780,660,6000
,Vit C Effervescent Green,,,1,3200,4160,3520,3200
,Vit E Natura House 1000IU,,,10,1100,1430,1210,11000
,VITA--TEARS EYE DROP,,,2,0,0,0,0
,WELLKID BABY&INFANT SYRUP,Vitabiotics ,,1,8500,11050,9350,8500
,WELLROZE CAPSULES,Lyn-Edge,,1,4900,6370,5390,4900
,WELLWOMAN,Vitabiotics ,,1,12000,15600,13200,12000
,WORMIN 500,,,2,0,0,0,0
,WOSAN CREAM,Jawa,,3,1600,2080,1760,4800
,XASTEN DEXA TAB 1MG 10x10,Vixa,,20,100,130,110,2000
,XENOBREX CELECOXIB 200MG,,,2,0,0,0,0
,XTENDA-20 TADALAFIL TABLETS,,,2,0,0,0,0
,YELLOW CANNULA 20G,,,50,170,221,187,8500
,YTACAN CLOLTRIMAZOLE CREAM,,,3,545,708.5,599.5,1635
,YTACAN PLUS CLOLTRIMAZOLE CREAM,,,3,570,741,627,1710
,ZEGEM SYRUP,,,2,2500,3250,2750,5000
,ZINNAT 500MG,GSK,,2,0,0,0,0
,ZITHROMAX 250MG CAPSULESX6,Pfizer ,,1,0,0,0,0
,ZOLAT - 400MG CHEWABLE CAPLET,Emzor ,,3,0,0,0,0
,ZOLAT SUSPENSION,Emzor ,,3,800,1040,880,2400
,ZOLON AZITHROMYCIN 250MG 1X 6,Zolon,,3,0,0,0,0
,ZOLON AZITHROMYCIN 500MG 1X3,Zolon,,3,2000,2600,2200,6000
,ZOLON ULSAKIT,Zolon,,1,0,0,0,0
,ZYNCET SYRUP,,,2,0,0,0,0
,COTTON WOOL 100g,,,5,380,494,418,1900
,DISPENSING ENVELOPE ,,,5,400,520,440,2000
,DR FIZZO (Andrew Liver Salt),,,50,210,273,231,10500
,YOYO BITTERS 200mL,,,2,1350,1755,1485,2700
,PANFOR 500mg,Mega,,10,800,1040,880,8000
,PILEX (Diosmin 150mg),,,2,850,1105,935,1700
,CIPROSTAT + TN,Sterling ,,5,2100,2730,2310,10500
,BERLIN FLUCONAZOLE 150mg,Berlin,,3,550,715,605,1650
,BONADOL PCM x 1000,Bond,,1000,6.5,8.45,7.15,6500
,CIPROFLOXACIN 500mg (Sabuzo),Sabuzo,,10,500,650,550,5000
,LISINOPRIL 3x10 (FIDSON),Fidson ,,3,600,780,660,1800
,CERUMOL EAR DROPS,,,1,8500,11050,9350,8500
,Calcium x 1000 Clam-tone,Bliss GVS,,1000,5,6.5,5.5,5000
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,2127003
